회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
이엠코리아,2011,-6.51827668,17.2636805,6.096406663,165.9238895,64.27545035,2013-12-31,0
다우데이타,2011,14.12939489,3.460422406,0.049136889,132.130724,20.5639956,2013-12-31,0
컴투스,2012,37.91674062,58.11668911,16.00915176,1082.671041,76.598682,2014-12-31,0
케이에이치바텍,2012,11.58610181,37.96954227,3.566979559,187.2247108,88.03544764,2014-12-31,0
슈피겐코리아,2012,47.70179824,72.67878642,46.90888114,476.3112588,144.5747744,2014-12-31,0
서부티엔디,2012,-22.10980988,40.81118876,0.464729349,205.2352194,4.852084437,2014-12-31,0
아미코젠,2012,35.88881333,36.45200425,24.77319943,308.0495369,69.24596358,2014-12-31,0
토비스,2012,15.32323434,22.6744181,7.085690109,174.881678,269.5958994,2014-12-31,0
라이온켐텍,2012,19.71257396,58.88708854,36.78010046,296.8761707,170.4543299,2014-12-31,0
디티앤씨,2012,-16.99885056,25.41641251,18.58531316,152.4487635,84.42235538,2014-12-31,0
블루콤,2012,62.10293859,61.84963085,6.857857488,1791.295931,54.56763376,2014-12-31,0
마크로젠,2012,45.51224362,4.247532737,6.525569414,270.0722458,53.73760426,2014-12-31,0
코데즈컴바인,2013,-12.75848739,-7.317649512,-11.10499375,128.0326802,113.6375581,2015-12-31,0
현대바이오랜드,2013,20.56509431,56.40504691,9.429257796,405.7249527,49.8346527,2015-12-31,0
코스온,2013,44.50772801,-10.55774372,-1.634933024,178.6630294,45.86654659,2015-12-31,0
더이앤엠,2013,-21.21478285,-14.98182145,-10.03772431,134.9069602,29.39035897,2015-12-31,0
코스맥스엔비티,2013,-25.94919674,6.220568443,9.751643425,143.552223,117.6938166,2015-12-31,0
한국정보통신,2013,15.42599474,27.7236975,16.02703152,217.0066392,135.4621008,2015-12-31,0
덱스터스튜디오,2013,47.81970151,-6.56918203,9.79002454,422.3547467,102.4164675,2015-12-31,0
와이솔,2013,-2.501835098,28.9127243,9.356929561,204.0480584,113.0170925,2015-12-31,0
아스트,2013,-8.579304451,0.733915759,-4.20871939,138.7152526,62.34432886,2015-12-31,0
동원개발,2013,79.53620782,56.76248396,11.44315842,336.7821082,82.21775121,2015-12-31,0
아이원스,2013,-8.430109782,23.11880037,8.924399452,175.7391092,58.0996901,2015-12-31,0
세종텔레콤,2013,6.629621908,-31.40084259,-7.027120348,287.346653,107.6308853,2015-12-31,0
엠피대산,2013,-34.38429922,26.44469489,7.342818116,154.2759491,259.4455025,2015-12-31,0
홈캐스트,2014,10.84438721,15.5757978,6.331145365,261.3033792,62.50376252,2016-12-31,0
클리오,2014,9.640956323,30.88271563,6.872142354,151.0088391,156.5491249,2016-12-31,0
테스,2014,41.42694148,38.93209331,15.47471704,415.4427143,99.16209032,2016-12-31,0
광림,2014,26.21171287,9.933295623,0.780219471,211.262688,94.51167496,2016-12-31,0
에스에프에이반도체,2014,-24.69277481,-6.094523429,4.093953044,133.4506446,67.7443118,2016-12-31,0
제이스텍,2014,23.4994231,60.24311383,7.78176466,524.9296973,99.28418945,2016-12-31,0
