회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부,부정기사비율
현대바이오랜드,2013,20.56509431,56.40504691,9.429257796,405.7249527,49.8346527,2015-12-31,0,0.0
코스온,2013,44.50772801,-10.55774372,-1.634933024,178.6630294,45.86654659,2015-12-31,0,7.8431372549019605
더이앤엠,2013,-21.21478285,-14.98182145,-10.03772431,134.9069602,29.39035897,2015-12-31,0,0.0
코스맥스엔비티,2013,-25.94919674,6.220568443,9.751643425,143.552223,117.6938166,2015-12-31,0,0.0
한국정보통신,2013,15.42599474,27.7236975,16.02703152,217.0066392,135.4621008,2015-12-31,0,9.090909090909092
덱스터스튜디오,2013,47.81970151,-6.56918203,9.79002454,422.3547467,102.4164675,2015-12-31,0,16.666666666666664
와이솔,2013,-2.501835098,28.9127243,9.356929561,204.0480584,113.0170925,2015-12-31,0,12.5
아스트,2013,-8.579304451,0.733915759,-4.20871939,138.7152526,62.34432886,2015-12-31,0,9.75609756097561
동원개발,2013,79.53620782,56.76248396,11.44315842,336.7821082,82.21775121,2015-12-31,0,4.054054054054054
아이원스,2013,-8.430109782,23.11880037,8.924399452,175.7391092,58.0996901,2015-12-31,0,10.16949152542373
세종텔레콤,2013,6.629621908,-31.40084259,-7.027120348,287.346653,107.6308853,2015-12-31,0,15.0
엠피대산,2013,-34.38429922,26.44469489,7.342818116,154.2759491,259.4455025,2015-12-31,0,0.0
홈캐스트,2014,10.84438721,15.5757978,6.331145365,261.3033792,62.50376252,2016-12-31,0,23.91304347826087
클리오,2014,9.640956323,30.88271563,6.872142354,151.0088391,156.5491249,2016-12-31,0,27.586206896551722
테스,2014,41.42694148,38.93209331,15.47471704,415.4427143,99.16209032,2016-12-31,0,16.071428571428573
광림,2014,26.21171287,9.933295623,0.780219471,211.262688,94.51167496,2016-12-31,0,25.454545454545453
에스에프에이반도체,2014,-24.69277481,-6.094523429,4.093953044,133.4506446,67.7443118,2016-12-31,0,0.0
제이스텍,2014,23.4994231,60.24311383,7.78176466,524.9296973,99.28418945,2016-12-31,0,31.70731707317073
코웰패션,2014,-4.110449818,7.814536949,1.19608365,351.191097,45.12590079,2016-12-31,0,10.416666666666668
라이온켐텍,2014,40.77619926,61.03295392,20.7279861,1007.050999,129.6536962,2016-12-31,0,34.78260869565217
에코프로,2015,-9.485385964,2.514229315,2.635309006,185.7813017,48.63717537,2017-12-31,0,31.25
나스미디어,2015,38.6867316,30.64002969,8.250248547,196.3010751,32.09596545,2017-12-31,0,11.594202898550725
케이엠더블유,2015,-8.914345289,-2.327662443,-15.42775803,122.879775,68.56474624,2017-12-31,0,23.157894736842106
메카로,2015,23.9909083,29.32280285,13.65665905,204.1194399,85.9223324,2017-12-31,0,5.0
다원시스,2015,45.28210948,19.17939595,4.157928353,297.773517,33.66970421,2017-12-31,0,21.21212121212121
테크윙,2015,10.02614694,27.70445143,12.05122358,184.1249635,64.29694557,2017-12-31,0,6.756756756756757
대한광통신,2015,-5.784247007,-18.69267177,-2.744315564,192.2482058,71.48285215,2017-12-31,0,14.130434782608695
셀트리온,2016,21.30471305,38.67351845,8.361890732,367.1975356,22.19040545,2018-12-31,0,18.666666666666668
상상인,2016,-12.56791553,10.19657533,-0.053635347,115.996286,23.32192201,2018-12-31,0,10.144927536231885
에스티큐브,2016,44.65751974,-16.58514325,5.037316196,353.4695241,37.43421548,2018-12-31,0,17.073170731707318
드림어스컴퍼니,2016,68.33398662,-20.57212082,-15.71950438,419.3704083,104.4987566,2018-12-31,0,0.0
코스메카코리아,2016,45.52652559,22.40830507,7.223616033,374.3986444,115.4707112,2018-12-31,0,5.263157894736842
지니뮤직,2016,45.06304644,-14.62394818,4.450491383,262.3904775,101.0965368,2018-12-31,0,4.761904761904762
대주전자재료,2016,-8.786573198,9.737697955,2.277756289,170.6489195,48.08419962,2018-12-31,0,10.95890410958904
크리스에프앤씨,2016,30.55843144,46.65196308,19.91939649,213.2872192,133.252743,2018-12-31,0,5.263157894736842
앤디포스,2016,81.28128229,35.27597362,18.93411843,1071.39392,79.49394764,2018-12-31,0,8.771929824561402
에이치엘비,2018,31.64360144,13.03060407,0.54416056,321.6775779,11.90168741,2020-12-31,0,22.857142857142858
