,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
178,삼에스코리아,2012,14.09416305,-17.96080324,5.478783253,242.7564814,61.78216001,0
179,인탑스,2012,16.73398754,53.34337117,4.520151842,260.30064330000005,180.56773940000002,0
180,케이지모빌리언스,2012,29.83350943,19.73050009,5.72736068,159.91408080000002,36.14649401,0
181,모다이노칩,2012,45.58253116,71.16959882,17.75291271,456.6297471,68.35974199,0
182,이라이콤,2012,28.85809305,39.86822115,13.91712573,218.2536305,226.43496150000001,0
183,다날,2012,5.838876495,1.06649687,3.200054812,134.6928265,38.91752343,0
184,아이씨디,2012,53.39613966,35.69574172,11.07710658,584.8953187000001,68.99739611,0
185,아이디스,2012,41.13479886,30.2965293,26.31084108,353.0017735,122.9579081,0
186,코나아이,2012,10.44428019,32.58335746,10.94624025,222.399596,70.6524261,0
187,동성화인텍,2012,-18.03697643,6.06062031,5.23081014,133.3103845,80.69049495,0
188,제닉,2012,43.15363994,42.60195586,12.58430586,834.1453019999999,142.8606419,0
189,이녹스,2012,9.038677375,26.53930167,13.43641402,206.85802809999998,96.57035757,0
190,이엠텍,2012,30.97218138,32.18811077,8.270467973999999,200.2911113,246.7700919,0
191,엘비세미콘,2012,-0.240846394,16.01850741,10.0604291,177.54483249999998,63.22033146,0
192,진성티이씨,2012,23.91497654,19.12662529,5.488973284,141.331961,80.22099939,0
193,마크로젠,2012,45.51224362,4.247532737,6.525569414,270.0722458,53.73760426,0
194,디아크,2013,-3.445794409,-99.87236098,2.7873788160000004,164.17889630000002,205.1856229,0
195,동일기연,2013,81.10586552,95.34208948,6.927963227999999,870.7612677000001,50.43292932,0
196,디에이피,2013,-16.19968776,30.09729319,11.85443557,157.38949519999997,133.01011640000002,0
197,동원개발,2013,79.53620782,56.76248396,11.44315842,336.7821082,82.21775121,0
198,동우팜투테이블,2013,35.2705973,60.86139587,8.201233207000001,493.95387350000004,165.2599493,0
199,드림어스컴퍼니,2013,51.9802974,-23.7406789,-14.05257149,240.92162530000002,221.1027298,0
200,듀오백,2013,37.123248600000004,65.4140868,1.725242009,789.19995,78.38343918,0
201,파트론,2013,5.084820592,46.35266999,21.47611773,217.3865357,195.6247642,0
202,데브시스터즈,2014,93.56559509999998,23.65380575,16.226307300000002,2482.575245,34.14430894,0
203,씨제이프레시웨이,2014,-9.483097625,6.609807095,4.383705258,140.87966699999998,266.71712379999997,0
204,슈피겐코리아,2014,77.32789127,44.0310987,27.90289795,796.1185876000001,98.54697077,0
205,포스코아이씨티,2014,11.07132585,10.47375002,5.796039395,188.90786830000002,129.1785864,0
206,코나아이,2014,28.69885685,34.8002296,9.117879107,242.5266961,69.88076001,0
207,리노공업,2014,54.13020128,89.668508,19.64148528,1614.633259,56.08311997,0
