회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
네오위즈,2010,14.95246383,20.37010671,22.35253266,262.2126072,101.8162303,0
크루셜텍,2010,40.93717194,22.80233968,19.29449241,212.4768528,164.8103454,0
이오테크닉스,2010,36.76034878,33.99500652,18.43961485,309.3559195,82.77073338,0
주성엔지니어링,2010,11.73390311,20.14443811,10.08011062,188.1735725,90.31377702,0
휴맥스,2010,25.00587733,2.177286477,7.484043214,201.9422441,137.9776409,0
멀티캠퍼스,2010,69.16786687,54.48402237,3.550299492,1344.784962,61.8921652,0
서부티엔디,2010,-0.52392928,1.331492407,0.415757819,266.798166,4.761949006,0
태광,2010,63.02239236,74.96253095,0.079984643,774.4577053,65.42464059,0
네패스,2010,4.614320039,20.22391625,7.709368071,195.9551302,84.91619832,0
에스엔유프리시젼,2010,51.02830531,20.53124489,4.351214448,318.9724078,51.69282293,0
루멘스,2010,12.32610057,5.044206325,9.245369865,179.3250539,123.4581699,0
피에이치에이,2010,6.602050741,29.20974099,3.575458393,184.0901786,162.1551071,0
케이에이치바텍,2010,25.59878851,52.21807331,10.52659305,279.5716906,127.8584028,0
위메이드,2010,62.51064633,28.78371182,8.240003741,1000.076986,35.62851609,0
그래디언트,2010,47.72539839,56.01040031,-2.877316326,323.516818,71.38628049,0
케이티알파,2010,27.98311268,-19.5764343,-2.797202464,372.8798927,121.4803903,0
오성첨단소재,2010,-16.6250735,11.09203667,1.827783361,148.429726,31.92220518,0
우주일렉트로닉스,2010,38.62544948,54.60559312,18.31347258,417.8970919,98.45535146,0
에스엠엔터테인먼트,2010,40.55007249,26.6040393,22.18259494,402.0343726,75.23204714,0
포스코엠텍,2010,31.61699268,18.49997551,4.8499499,204.6610115,179.1445664,0
젬백스&카엘,2011,3.327936171,-21.12474825,-1.729172204,228.1568721,39.62605099,0
위메이드,2011,53.72162601,32.34694834,6.5681593,1253.338031,32.24673574,0
에스에프에이,2011,40.46814064,60.0956001,16.54147848,265.1341552,136.5188777,0
인터플렉스,2011,10.56698268,36.26131537,8.210580889,203.6496136,105.2556398,0
서부티엔디,2011,-1.265465044,47.59130551,0.447685655,235.7657443,4.614073857,0
성광벤드,2011,42.64933626,65.48538134,6.506170832,350.0722519,61.7564657,0
멜파스,2011,10.19041544,37.70220168,7.66620242,313.8878411,124.201086,0
큐로컴,2011,19.00937002,-138.8433026,0.291848131,320.5127855,16.09606381,0
엘엑스세미콘,2011,73.63431834,54.22526818,9.408849592,564.5324497,112.3304958,0
